iter	Accuracy	MultiClass
218	0.8303536423	0.4405054077
219	0.8303667111	0.4403729128
220	0.830445124	0.4402592071
221	0.8304973993	0.4401753966
222	0.830445124	0.4401215782
223	0.8305758122	0.4400233637
224	0.8305627434	0.4399461417
225	0.8306019499	0.4398098671
226	0.830667294	0.4397055437
227	0.8307195693	0.4396240552
228	0.8307587757	0.4395203014
229	0.8307195693	0.4394619353
230	0.8307849134	0.4393088643
231	0.830811051	0.4392054157
232	0.8308894639	0.4391276675
233	0.8310332209	0.4390147511
234	0.8309940145	0.438881792
235	0.8309940145	0.4388182802
236	0.8310854962	0.4387468149
237	0.8310201521	0.4387178871
238	0.8310332209	0.4386532998
239	0.8310462898	0.4385682424
240	0.8310854962	0.4384849572
241	0.831176978	0.4383934291
242	0.8312292532	0.4382071643
243	0.8313991479	0.4380365584
244	0.8315036985	0.4379300646
245	0.831464492	0.4378863263
246	0.8314775608	0.4377183194
247	0.8315036985	0.4376203772
248	0.8314906297	0.4375792269
249	0.831608249	0.4375203401
250	0.831608249	0.4374010364
251	0.8315690426	0.4373391789
252	0.831608249	0.4372749013
253	0.8317520061	0.4371834742
254	0.8317127996	0.4371408409
255	0.8316997308	0.4371007039
256	0.8317127996	0.4370013277
257	0.8318042813	0.4369051255
258	0.8318434878	0.436752779
259	0.831830419	0.4366417876
260	0.8318826943	0.4365792594
261	0.831830419	0.4365264181
262	0.8319088319	0.436475985
263	0.8318565566	0.4363642841
264	0.8320133825	0.436274972
265	0.8321702083	0.4362423768
266	0.8320264513	0.4361422435
267	0.832117933	0.4360544578
268	0.8321571395	0.4360012717
269	0.832117933	0.43590604
270	0.8320264513	0.4357946027
271	0.8321702083	0.43566786
272	0.8321048642	0.4356170456
273	0.8321440707	0.4355873512
274	0.8321571395	0.4354910159
275	0.8321440707	0.4354615016
276	0.8322355524	0.4354362613
277	0.8321832771	0.4353772096
278	0.8322747589	0.4353302234
279	0.832196346	0.4352831247
280	0.832340103	0.4352247583
281	0.8324315847	0.4351592461
282	0.8323793094	0.4351385614
283	0.832340103	0.4350862454
284	0.8323923783	0.4350176935
285	0.83248386	0.4349441571
286	0.8324577224	0.4349280336
287	0.8325492041	0.4348764562
288	0.8324446535	0.4347657221
289	0.8325230665	0.4346832914
290	0.8325622729	0.4346177613
291	0.8326668235	0.4345600406
292	0.8326014794	0.4345222318
293	0.8326014794	0.434464971
294	0.832627617	0.4343871539
295	0.8326668235	0.4343783131
296	0.8326668235	0.4343433653
297	0.8326145482	0.4342704011
298	0.8326406859	0.4342427614
299	0.8326798923	0.4341407079
300	0.8327583052	0.4340514239
301	0.8327583052	0.4339343817
302	0.8327975117	0.4338559332
303	0.832849787	0.4337841538
304	0.8329674064	0.4337108723
305	0.8329674064	0.4336483484
306	0.8330588881	0.433602648
307	0.8330196816	0.4335516178
308	0.8329412687	0.4335117663
309	0.8329020623	0.4334579318
310	0.8329674064	0.4334315926
311	0.8329543375	0.4334033438
312	0.8330458193	0.4333013377
313	0.8331111634	0.4332718598
314	0.8331242322	0.4332480358
315	0.8330719569	0.4332127666
316	0.8331111634	0.4331398042
317	0.8331111634	0.4330887566
318	0.833137301	0.4330308271
319	0.833137301	0.4329410952
320	0.8332418516	0.4329074261
321	0.8333202645	0.4328729443
322	0.8333071957	0.4328527225
323	0.8332810581	0.4327923748
324	0.8332287828	0.4327574463
325	0.8332941269	0.4326919298
326	0.8331765075	0.432648536
327	0.8332026451	0.4326096083
328	0.8333202645	0.4325476997
329	0.8333856086	0.4325161566
330	0.8333725398	0.4325014998
331	0.833359471	0.4324216337
332	0.8334378839	0.4323957861
333	0.8333856086	0.4323032981
334	0.8334117463	0.4322062566
335	0.8334640215	0.4321835672
336	0.8335816409	0.4321163674
337	0.8336077786	0.4320453886
338	0.8336339162	0.4320277674
339	0.8336077786	0.4319638794
340	0.8335555033	0.4319138419
341	0.833646985	0.4318600297
342	0.8337646044	0.431800899
343	0.8337515356	0.4317383994
344	0.8336600538	0.4316553631
345	0.8336339162	0.4315839951
346	0.8336077786	0.4315549167
347	0.8336339162	0.4315353854
348	0.8336600538	0.4315202076
349	0.8337123291	0.4314666132
350	0.8337123291	0.4314099055
351	0.8337384668	0.4313938321
352	0.8337253979	0.4313428081
353	0.8336992603	0.431329553
354	0.8337384668	0.4312924463
355	0.8337646044	0.431274968
356	0.8338168797	0.4312475388
357	0.8338168797	0.4311857022
358	0.8338038109	0.4311106807
359	0.8338299485	0.431085778
360	0.8338560861	0.4310242771
361	0.8338822238	0.4309800528
362	0.8338952926	0.4309239796
363	0.8340782561	0.4308448015
364	0.8340390496	0.4307960095
365	0.8340521185	0.4307672834
366	0.8340521185	0.4306552999
367	0.8341043937	0.4306357121
368	0.8341174626	0.4306105247
369	0.8341043937	0.4305689635
370	0.8341305314	0.4305543465
371	0.8341958755	0.4305404536
372	0.8342089443	0.4304859184
373	0.8342220131	0.4304489
374	0.8342089443	0.4304118306
375	0.8342220131	0.4303773861
376	0.8341043937	0.4303217963
377	0.8341305314	0.4302845348
378	0.8341828067	0.4302260811
379	0.8342873572	0.430082234
380	0.8342481508	0.4299543751
381	0.8342220131	0.4299371381
382	0.834300426	0.4298959341
383	0.834300426	0.429846145
384	0.8343527013	0.4297873164
385	0.8344703207	0.4297136951
386	0.8345095272	0.4296853255
387	0.8344049766	0.4296374199
388	0.8344441831	0.4295968096
389	0.8344833895	0.4295252026
390	0.8343919078	0.4294799054
391	0.8344572519	0.4294590528
392	0.8344311142	0.4294080616
393	0.8342873572	0.4293683274
394	0.8343265637	0.4293444306
395	0.8343919078	0.4292843313
396	0.8345095272	0.4292434523
397	0.8344441831	0.4291810323
398	0.8344441831	0.4291516163
399	0.8343919078	0.4291349125
400	0.8344180454	0.4290879061
401	0.8344572519	0.429033943
402	0.8345487336	0.4289836178
403	0.8345748713	0.4289509692
404	0.8345356648	0.4289220888
405	0.8345879401	0.42889187
406	0.8345356648	0.4288518825
407	0.8345618025	0.4288005261
408	0.8345487336	0.4287262178
409	0.8344703207	0.4286951102
410	0.8345618025	0.4286277698
411	0.834522596	0.428575887
412	0.8346010089	0.4285549128
413	0.8345095272	0.4285263467
414	0.8345879401	0.4285104584
415	0.8346532842	0.4284537603
416	0.8346140777	0.4284075633
417	0.8345748713	0.4283929791
418	0.8345879401	0.4283440122
419	0.8346532842	0.4283034457
420	0.8346140777	0.4282689458
421	0.8346140777	0.4281992987
422	0.8346402154	0.4281601009
423	0.8345618025	0.4281344601
424	0.8345748713	0.4280923771
425	0.8347839724	0.4280369194
426	0.8347970412	0.4280308567
427	0.8347186283	0.4280125416
428	0.8348623853	0.4279758244
429	0.8347970412	0.4279486714
430	0.8347970412	0.4279312276
431	0.8347709036	0.4278762449
432	0.8348754541	0.4278326427
433	0.8348231789	0.4277971306
434	0.8348231789	0.4277909027
435	0.8347839724	0.4277175392
436	0.8347970412	0.4276823615
437	0.834888523	0.4276382361
438	0.8348493165	0.4276003982
439	0.8349407982	0.4275361999
440	0.8350192112	0.4274964426
441	0.83503228	0.427479908
442	0.8349800047	0.4274599255
443	0.8349277294	0.4274509683
444	0.8349277294	0.4274131353
445	0.8349407982	0.427375652
446	0.8349146606	0.4273399475
447	0.834888523	0.4272681403
448	0.8349015918	0.4272544085
449	0.8349800047	0.4272005977
450	0.8350061423	0.4271492738
451	0.8350453488	0.4271219206
452	0.8351106929	0.4270882413
453	0.8350976241	0.4270832158
454	0.8350192112	0.4270547929
455	0.8350453488	0.4270347795
456	0.8350714864	0.4270214634
457	0.8351368305	0.4269510452
458	0.8351498994	0.4269193578
459	0.8351368305	0.4268660735
460	0.8351629682	0.426823749
461	0.8350453488	0.4267881851
462	0.8350845553	0.4267568022
463	0.8351237617	0.4267305591
464	0.8351237617	0.4267086152
465	0.8352021747	0.4266779233
466	0.8352283123	0.4266115823
467	0.8352805876	0.4265917388
468	0.8352413811	0.4265600345
469	0.8352805876	0.4265450749
470	0.8352805876	0.426526566
471	0.8352805876	0.4264882266
472	0.8352805876	0.426478003
473	0.8353590005	0.4263941949
474	0.8353590005	0.4263767905
475	0.8352936564	0.4263557902
476	0.835398207	0.4262846469
477	0.8354374134	0.4262387757
478	0.8354504822	0.4262066326
479	0.8354504822	0.4261937229
480	0.8354635511	0.4261823575
481	0.8354243446	0.4261095962
482	0.8354504822	0.4260689335
483	0.8354112758	0.4260293308
484	0.8354243446	0.4259999232
485	0.8355027575	0.42595698
486	0.835541964	0.4259275353
487	0.835541964	0.4258249279
488	0.8355681016	0.4257446878
489	0.8355550328	0.4256873337
490	0.835541964	0.4256408999
491	0.835541964	0.4256180652
492	0.835541964	0.4255990946
493	0.8356726522	0.4255508257
494	0.8356726522	0.4255304707
495	0.8356334457	0.425461402
496	0.8357118586	0.4254530555
497	0.8356334457	0.4253936107
498	0.8356465145	0.425366541
499	0.8356334457	0.4253587863
